subject,activity,domain,acc_component,motion,derivative,axis,statistic,value
1,LAYING,time,body,linear,2,Z,mean,-0.11320355358
1,LAYING,time,body,linear,2,X,sd,-0.9280564692000001
1,LAYING,time,body,linear,2,Y,sd,-0.83682740562
1,LAYING,time,body,linear,2,Z,sd,-0.826061401628
1,LAYING,time,gravity,linear,2,X,mean,-0.24888179828
1,LAYING,time,gravity,linear,2,Y,mean,0.70554977346
1,LAYING,time,gravity,linear,2,Z,mean,0.4458177198
1,LAYING,time,gravity,linear,2,X,sd,-0.8968300184000001
1,LAYING,time,gravity,linear,2,Y,sd,-0.9077200067600001
1,LAYING,time,gravity,linear,2,Z,sd,-0.85236629022
1,LAYING,time,body,linear,3,X,mean,0.0810865342
1,LAYING,time,body,linear,3,Y,mean,0.0038382040087999976
1,LAYING,time,body,linear,3,Z,mean,0.010834236360999998
1,LAYING,time,body,linear,3,X,sd,-0.958482112
1,LAYING,time,body,linear,3,Y,sd,-0.9241492736000001
1,LAYING,time,body,linear,3,Z,sd,-0.9548551108000001
1,LAYING,time,body,angular,2,X,mean,-0.016553093978
1,LAYING,time,body,angular,2,Y,mean,-0.064486124088
1,LAYING,time,body,angular,2,Z,mean,0.14868943626
1,LAYING,time,body,angular,2,X,sd,-0.87354386782
1,LAYING,time,body,angular,2,Y,sd,-0.9510904402
1,LAYING,time,body,angular,2,Z,sd,-0.9082846626
1,LAYING,time,body,angular,3,X,mean,-0.107270949192
1,LAYING,time,body,angular,3,Y,mean,-0.04151728689
1,LAYING,time,body,angular,3,Z,mean,-0.0740501211
1,LAYING,time,body,angular,3,X,sd,-0.9186085208000001
1,LAYING,time,body,angular,3,Y,sd,-0.9679072436000001
1,LAYING,time,body,angular,3,Z,sd,-0.9577901596
1,LAYING,time,body,linear,2,XYZ,mean,-0.8419291525
1,LAYING,time,body,linear,2,XYZ,sd,-0.79514486386
1,LAYING,time,gravity,linear,2,XYZ,mean,-0.8419291525
1,LAYING,time,gravity,linear,2,XYZ,sd,-0.79514486386
1,LAYING,time,body,linear,3,XYZ,mean,-0.9543962646
1,LAYING,time,body,linear,3,XYZ,sd,-0.9282456284
1,LAYING,time,body,angular,2,XYZ,mean,-0.8747595480000001
1,LAYING,time,body,angular,2,XYZ,sd,-0.8190101697600001
1,LAYING,time,body,angular,3,XYZ,mean,-0.96346103
1,LAYING,time,body,angular,3,XYZ,sd,-0.9358409828
1,LAYING,frequency,body,linear,2,X,mean,-0.9390990524
1,LAYING,frequency,body,linear,2,Y,mean,-0.8670652051800001
1,LAYING,frequency,body,linear,2,Z,mean,-0.8826668762000001
1,LAYING,frequency,body,linear,2,X,sd,-0.9244374346
1,LAYING,frequency,body,linear,2,Y,sd,-0.8336255561
1,LAYING,frequency,body,linear,2,Z,sd,-0.81289155944
1,LAYING,frequency,body,linear,3,X,mean,-0.9570738838
1,LAYING,frequency,body,linear,3,Y,mean,-0.9224626098
1,LAYING,frequency,body,linear,3,Z,mean,-0.9480609042
1,LAYING,frequency,body,linear,3,X,sd,-0.9641607086
1,LAYING,frequency,body,linear,3,Y,sd,-0.9322178704
1,LAYING,frequency,body,linear,3,Z,sd,-0.9605869872
1,LAYING,frequency,body,angular,2,X,mean,-0.850249174586
1,LAYING,frequency,body,angular,2,Y,mean,-0.9521914948
1,LAYING,frequency,body,angular,2,Z,mean,-0.909302721
1,LAYING,frequency,body,angular,2,X,sd,-0.8822964508000001
1,LAYING,frequency,body,angular,2,Y,sd,-0.9512320494000001
1,LAYING,frequency,body,angular,2,Z,sd,-0.9165825082000001
1,LAYING,frequency,body,linear,2,XYZ,mean,-0.8617676481000001
1,LAYING,frequency,body,linear,2,XYZ,sd,-0.7983009404000001
1,LAYING,frequency,body,linear,3,XYZ,mean,-0.9333003608
1,LAYING,frequency,body,linear,3,XYZ,sd,-0.9218039756
1,LAYING,frequency,body,angular,2,XYZ,mean,-0.8621901854
1,LAYING,frequency,body,angular,2,XYZ,sd,-0.8243194396800001
1,LAYING,frequency,body,angular,3,XYZ,mean,-0.9423669466000001
1,LAYING,frequency,body,angular,3,XYZ,sd,-0.9326606676000001
1,SITTING,time,body,linear,2,Z,mean,-0.10454418225531915
1,SITTING,time,body,linear,2,X,sd,-0.9772290082978724
1,SITTING,time,body,linear,2,Y,sd,-0.9226186419148936
1,SITTING,time,body,linear,2,Z,sd,-0.9395862910638298
1,SITTING,time,gravity,linear,2,X,mean,0.8315099334042553
1,SITTING,time,gravity,linear,2,Y,mean,0.20441159268085107
1,SITTING,time,gravity,linear,2,Z,mean,0.33204370276595746
1,SITTING,time,gravity,linear,2,X,sd,-0.9684571457446809
1,SITTING,time,gravity,linear,2,Y,sd,-0.9355170559574468
1,SITTING,time,gravity,linear,2,Z,sd,-0.9490409331914894
1,SITTING,time,body,linear,3,X,mean,0.07748251995744682
1,SITTING,time,body,linear,3,Y,mean,-6.19102785106382e-4
1,SITTING,time,body,linear,3,Z,mean,-0.0033677923502127643
1,SITTING,time,body,linear,3,X,sd,-0.9864307112765958
1,SITTING,time,body,linear,3,Y,sd,-0.981371965319149
1,SITTING,time,body,linear,3,Z,sd,-0.9879108044680852
1,SITTING,time,body,angular,2,X,mean,-0.04535005651276596
1,SITTING,time,body,angular,2,Y,mean,-0.0919241549361702
1,SITTING,time,body,angular,2,Z,mean,0.06293138119148936
1,SITTING,time,body,angular,2,X,sd,-0.9772112831914894
1,SITTING,time,body,angular,2,Y,sd,-0.966473895319149
1,SITTING,time,body,angular,2,Z,sd,-0.9414259208510639
